SegmentID,speed0,update0,speed1,update1,speed2,update2,speed3,update3,speed4,update4,speed5,update5,speed6,update6,speed7,update7,speed8,update8,speed9,update9
1073,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1074,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1075,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1076,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1077,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0
1078,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0
1079,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0,-1,2010-07-21 14:51:10.0
1080,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0,-1,2010-07-21 14:51:03.0
1084,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0,-1,2010-07-21 14:51:09.0
1085,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0
1086,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0
1087,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0,-1,2010-07-21 14:51:11.0
1088,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0,-1,2010-07-21 14:51:04.0
